カード名/商品名,買取価格
メガニウムex★草(未開封パック),"¥18,000"
カメックス★水(未開封パック),"¥18,000"
映画公開記念VSパック『波導のルカリオ』(未開封パック),"¥18,000"
映画公開記念VSパック『蒼海のマナフィ』(未開封パック),"¥18,000"
30枚デッキ対戦set「ミュウツーVSゲノセクト」(未開封パック),"¥18,000"
ダークラッシュ キャンペーンパック(未開封パック),"¥18,000"
サザンアイランド-トロピカルアイランド(未開封パック),"¥17,000"
湖の秘密スペシャルパック(未開封パック),"¥17,000"
構築スタンダードデッキ アルセウスLV.X 雷&超(未開封パック),"¥17,000"
アルセウス超克の時空へ 映画公開記念ランダムパック2009(未開封パック),"¥17,000"
プレミアムファイル3(未開封パック),"¥16,000"
サザンアイランド-大空(未開封パック),"¥16,000"
バクフーンex★炎(未開封パック),"¥16,000"
オーダイルex★水(未開封パック),"¥16,000"
ボーマンダデッキ(未開封パック),"¥15,000"
大海のカイオーガex(未開封パック),"¥15,000"
映画10周年記念 プレミアムシート(未開封パック),"¥15,000"
ギンガの覇道・時の果ての絆スペシャルパック(未開封パック),"¥15,000"
はじめてセット+(未開封パック),"¥15,000"
コンセプトパック第2弾 伝説キラコレクション(未開封パック),"¥15,000"
コンセプトパック第4弾 プレミアムチャンピオンパック「EX×M×BREAK」(未開封パック),"¥15,000"
コンセプトパック第6弾 拡張パック 20th Anniversary(未開封パック),"¥15,000"
メガバトルデッキ60「MリザードンEX」(未開封パック),"¥15,000"
アチャモデッキ(未開封パック),"¥14,000"
タイプユニット雷(未開封パック),"¥14,000"
拡張パック第1弾 時空の創造 ダイヤモンドコレクション(未開封パック),"¥14,000"
拡張パック第4弾 月光の追跡(未開封パック),"¥14,000"
EXバトルブースト(未開封パック),"¥14,000"
コンセプトパック第5弾 幻・伝説ドリームキラコレクション(未開封パック),"¥14,000"
キモリデッキ(未開封パック),"¥13,000"
ミズゴロウデッキ(未開封パック),"¥13,000"
フライゴンデッキ(未開封パック),"¥13,000"
雷震! バンギラスex(未開封パック),"¥13,000"
拡張パック第1弾 ギンガの覇道(未開封パック),"¥13,000"
ハイクラスパック「THE BEST OF XY」(未開封パック),"¥13,000"
拡張パック第5弾 怒りの神殿(未開封パック),"¥12,000"
拡張パック第5弾 秘境の叫び(未開封パック),"¥12,000"
ポケモンカードゲームDPt エントリーパック(未開封パック),"¥12,000"
ポケモンカードゲーム コレクションパック ミュウツーLV.X(未開封パック),"¥12,000"
メガバトルデッキ60「メガタブンネEX」 (未開封パック),"¥12,000"
拡張パック第7弾 プラズマゲイル(未開封パック),"¥11,000"
メタグロスデッキ(未開封パック),"¥10,000"
デオキシスデッキ(未開封パック),"¥10,000"
フシギバナ★草(未開封パック),"¥10,000"
拡張パック第2弾 時の果ての絆(未開封パック),"¥10,000"
ポケモンカードゲーム コレクションパック シェイミLV.X(未開封パック),"¥10,000"
ハイパーメタルチェーンデッキ60 ディアルガEX+ギルガルドEX(未開封パック),"¥10,000"
拡張パック第4弾 ファントムゲート(未開封パック),"¥9,500"
ドラゴンセレクション(未開封パック),"¥9,000"
コンセプトパック第2弾 伝説キラコレクション(未開封パック),"¥9,000"
拡張パック第5弾 リューノブレード(未開封パック),"¥8,500"
拡張パック第9弾 破天の怒り(未開封パック),"¥8,500"
タイプユニット草(未開封パック),"¥8,000"
タイプユニット炎(未開封パック),"¥8,000"
バトルスタートデッキ ライチュウ(未開封パック),"¥8,000"
拡張パック第2弾 ワイルドブレイズ(未開封パック),"¥8,000"
拡張パック第6弾 エメラルドブレイク(未開封パック),"¥8,000"
拡張パック第2弾 レッドコレクション(未開封パック),"¥7,500"
拡張パック第3弾 サイコドライブ(未開封パック),"¥7,500"
拡張パック第3弾 ヘイルブリザード(未開封パック),"¥7,500"
拡張パック第9弾 メガロキャノン(未開封パック),"¥7,500"
タイプユニット超(未開封パック),"¥7,000"
タイプユニット闘(未開封パック),"¥7,000"
拡張パック第8弾 ラセンフォース(未開封パック),"¥7,000"
拡張パック第5弾 タイダルストーム(未開封パック),"¥7,000"
