パック名,買取価格
拡張パック『コールドフレア』,"¥6,000"
拡張パック『フリーズボルト』,"¥6,000"
拡張パック『ライジングフィスト』,"¥6,000"
拡張パック『めざめる超王』,"¥6,000"
拡張パック『ホワイトコレクション』,"¥5,500"
拡張パック『ライデンナックル』,"¥5,500"
マスターキット(未開封パック),"¥5,000"
ポケモンカードゲームDP エントリーパック(未開封パック),"¥5,000"
ポケモンカードゲームDP エントリーパック'08DX(未開封パック),"¥5,000"
拡張パック『ブラックコレクション』,"¥5,000"
拡張パック第2弾 おわりなき戦い(未開封パック),"¥4,500"
拡張パック『バンデットリング』,"¥4,500"
拡張パック『赤い閃光』,"¥4,500"
拡張パック『コレクションX』,"¥4,200"
拡張パック『コレクションY』,"¥4,000"
BREAK進化パック「ライチュウBREAK」(未開封パック),"¥4,000"
プロモカードパック 25th ANNIVERSARY edition(未開封パック),"¥4,000"
拡張パック第2弾 鋭いつめ(未開封パック),"¥3,500"
拡張パック第2弾 逆転のいちげき(未開封パック),"¥3,500"
拡張パック『冷酷の反逆者』,"¥2,500"
拡張パック『ロストリンク』,"¥2,000"
ポケモンカードゲームDPt ギフトボックス(未開封パック),"¥1,500"
コンセプトパック『シャイニーコレクション』,"¥1,500"
拡張パック『爆熱の闘士』,"¥1,200"
