タイトル,発売日
でみめん,2018/12/12
ラストイデア,2019/4/18
デビルブック,2019/1/8
ディズニー ミュージックパレード,2024/11/21
アイチュウ ÉtoileStage,2023/4/26
この素晴らしい世界に祝福を！ファンタスティックデイズ,2020/2/27
重装出陣,2020/7/31
星鳴エコーズ,2019/11/27
ドクターマリオ ワールド,2019/7/10
ウルトラ怪獣バトルブリーダーズ,2018/12/20
Witch's Weapon-魔女兵器-,2019/4/25
なむあみだ仏っ！-蓮台 UTENA-,2019/4/29
メリーガーランド　美少女 放置 RPG,2019/1/29
HUNTER×HUNTER アリーナバトル,2020/1/30
最果てのバベル,2019/6/12
LINE：ピクサー タワー ～おかいものパズル～,2019/8/14
暁のブレイカーズ  ～アクション・バトル～,2018/12/18
荒野のコトブキ飛行隊  大空のテイクオフガールズ！,2019/2/13
ミイラの飼い方 パズルで育てる不思議な生き物-comico-,2019/3/21
キックフライト,2020/2/13
メガミラクルフォース,2019/1/31
とある魔術の禁書目録 幻想収束,2019/7/4
ラクガキキングダム -あなたの未来を描く育成RPG-,2021/1/28
MARVEL Super War,2015/1/22
機動都市X：スーパーメカシティ,2021/3/25
乙女神楽 〜ザンビへの鎮魂歌〜,2019/5/15
アカツキランド,2019/6/4
名探偵コナンランナー,2019/4/10
ガンビット,2019/5/15
テイルズ オブ クレストリア,2020/7/16
戦国BASARA バトルパーティー,2019/6/24
社長、バトルの時間です！,2019/10/17
カラーピーソウト,2019/6/25
ゼノンザード,2019/9/10
ハリー・ポッター： 魔法同盟,2019/7/2
ポケモンスクランブルSP,2019/7/23
リーグ・オブ・ワンダーランド,2019/9/30
revisions next stage,2019/10/30
ユージェネ,2021/6/16
装甲娘,2018/1/30
快感フレーズ CLIMAX,2019/10/15
牧場婚活,2019/5/15
Project NOAH - プロジェクト・ノア -,2019/9/9
ガンダムブレイカーモバイル,2019/7/31
三国志大戦M：超本格戦略型カードRPG,2019/9/12
TERA ORIGIN,2019/10/10
カードキャプターさくら ハピネスメモリーズ,2019/10/3
ドラゴン＆コロニーズ,2019/6/18
MU：奇蹟の覚醒,2019/5/28
"ダンキラ!!! - Boys, be DANCING! -",2019/5/21
プロ野球 ファミスタ マスターオーナーズ,2019/4/18
ONE PIECE ボン！ボン！ジャーニー!!,2020/3/17
HiGH＆LOW THE GAME,2019/10/25
ロストディケイド,2020/2/12
スヌーピー パズルジャーニー,2020/3/3
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,2021/12/14
聖闘士星矢 シャイニングソルジャーズ,2020/2/27
凍京NECRO SUICIDE MISSION,2019/3/29
ブラックホライズン -Black Horizon-,2019/9/19
Alice Closet,2019/8/30
RANBU 三国志乱舞,2020/11/16
THE KING OF FIGHTERS for GIRLS,2019/11/8
CODE：SEED -星火ノ唄-,2019/12/4
CUE! -See You Everyday-,2019/10/25
Exos Heroes,2020/5/28
LINE：ドラえもんパーク,2019/9/3
かくりよの門-朧-,2019/9/26
ソードアート・オンライン アリシゼーション・ブレイディング,2019/11/20
魔王と100人のお姫様,2019/11/20
三国志ヒーローズ,2020/3/10
ロンドン迷宮譚 ： 本格ミステリー×アイテム探しゲーム,2021/1/27
東方キャノンボール,2019/10/1
モンスターハンター ライダーズ,2020/2/19
アークオーダー,2019/10/24
ルミナスフォレスト〜選ばれし三人の勇者たち,2019/12/19
アクション対魔忍,2019/12/24
レッド：プライドオブエデン,2020/7/9
防振り ～らいんうぉーず！～,2020/1/9
蒼藍の誓い - ブルーオース,2020/4/7
SHOW BY ROCK!! Fes A Live,2020/3/12
ウインドボーイズ！,2021/11/15
TRAHA,2020/4/23
NARUTO X BORUTO 忍者TRIBES,2020/3/17
戦姫ストライク,2020/3/20
アルゴナビス from BanG Dream! AAside,2021/1/14
アニマル フロンティア,2020/5/19
ユートピア・ゲート～双子の女神と未来へのつばさ～,2020/3/31
ビッグバッドモンスターズ,2020/6/24
22/7 音楽の時間,2020/5/27
マジカミ,2020/6/11
エコーズ オブ パンドラ,2020/5/28
幻想神域2 -AURA KINGDOM-,2020/7/1
ひぐらしのなく頃に 命,2020/9/3
V4,2007/12/7
終末のアーカーシャ,2021/7/29
アイコイノート,2020/4/27
ステラクロニクル,2020/7/20
NieR Recarnation,2021/2/18
Re：ゼロから始める異世界生活 リゼロス,2020/9/9
アンノウンブライド,2020/6/10
ガールズシンフォニー：Ec 〜新世界少女組曲〜,2017/2/14
食物語,2020/11/3
メガミヒストリア,2020/8/25
ルミア サガ-ちび萌え自由大冒険,2020/8/28
ブラック・サージナイト,2021/5/20
フィーバーダンク,2020/6/16
HoneyWorks Premium Live,2020/11/18
ガール・カフェ・ガン！,2019/9/20
サクラ革命 ～華咲く乙女たち～,2020/12/15
金色のコルダ スターライトオーケストラ,2021/2/24
グリザイア クロノスリベリオン,2020/11/26
夢境ワールド~元素使いの大冒険~,2020/8/28
ワールドウィッチーズ UNITED FRONT,2020/10/13
テラクラシック,2021/1/29
咲う アルスノトリア,2021/3/4
LINE 超大富豪,2021/8/30
A.I.M.$,2020/11/17
ロックマンX DiVE,2020/10/26
スタースマッシュ,2020/11/16
おねがい、俺を現実に戻さないで！ シンフォニアステージ,2020/12/10
乱闘三国志～放置群英伝～,2020/11/26
英雄*戦姫WW,2019/7/30
ファンタジア・リビルド,2020/12/17
アニマエ・アルケー,2021/5/27
ブレイブ フロンティア レゾナ,2021/9/15
ディープインサニティ アサイラム,2021/10/14
FFVII THE FIRST SOLDIER,2021/11/17
オルタンシア・サーガR,2021/2/1
アイドルマスター ポップリンクス,2021/1/21
BLUE REFLECTION SUN/燦,2023/2/21
ドラゴンクエスト ダイの大冒険　-魂の絆-,2021/9/28
ゲートオブナイトメア,2021/10/26
三国志群雄 本格三国RPG,2021/3/18
Apex Legends Mobile,2022/5/18
フィギュアストーリー,2021/6/24
蒼空ファンタジー,2021/3/30
SHAMAN KING ふんばりクロニクル,2021/12/8
BLAZBLUE ALTERNATIVE DARKWAR,2021/2/16
ヴェルヴェットコード -Velvet Code-,2022/2/16
コードギアス Genesic Re;CODE,2021/10/4
無職転生 ～ゲームになっても本気だす～,2021/3/27
フットサルボーイズ!!!!! ハイファイリーグ,2021/11/9
キングダムDASH!!,2021/4/20
sin 七つの大罪 X-TASY,2021/6/2
にょろっこオンラインゲーム,2021/6/8
魔法科高校の劣等生 リローデッド・メモリ,2022/6/28
デッドバイデイライト・モバイル - NetEase,2022/4/28
シン・クロニクル,2022/3/23
マナシスリフレイン,2021/10/22
エクリプスサーガ,2021/7/8
月光彫刻師,2021/5/25
恋愛戦国ロマネスク 女性向け人気恋愛ゲーム,2021/9/30
プラオレ！～SMILE PRINCESS～,2022/3/15
テイルズウィーバー ： SecondRun,2022/11/21
彼女、お借りします ヒロインオールスターズ,2021/9/2
アイドルマスター SideM GROWING STARS,2021/10/6
シドニアの騎士 掌位ノ絆,2021/8/12
D_CIDE TRAUMEREI ディーサイドトロイメライ,2021/9/30
ドラゴンクエストけしケシ！,2021/12/1
遊戯王クロスデュエル,2022/9/6
聖剣伝説 ECHOES of MANA,2022/4/27
AKB48 WORLD,2021/9/9
夢職人と忘れじの黒い妖精,2022/2/18
アーテリーギア-機動戦姫-,2021/11/18
EXtreme LIVES,2022/3/1
EXTASY VISUAL SHOCK,2022/3/31
テイルズ オブ ルミナリア,2021/11/4
機動戦士ガンダム 鉄血のオルフェンズG,2022/11/15
ブレイブリーデフォルト ブリリアントライツ,2022/1/27
メモリア  夢の旅人と双子の案内人,2022/3/30
クローバーシアター,2022/8/3
404 GAME RE：SET -エラーゲームリセット-,2023/4/25
ミラクルマッチ,2022/6/14
鋼の錬金術師 MOBILE,2022/8/4
テクノロイド ユニゾンハート,2022/1/21
エターナルツリー,2022/6/23
からかい上手の高木さん キュンキュンレコーズ,2022/6/8
エンゲージ・キル,2023/3/1
＆0,2022/5/30
タワーオブスカイ,2023/2/28
アストラル・ミラージュ -幻城の姫君-,2022/11/14
真・三國無双 M,2018/2/8
クローズ×WORST - XROSS OVER -,2022/7/20
アスタータタリクス,2023/8/28
＃コンパス ライブアリーナ,2022/7/22
ミステリーレコード｜協力×謎解きの脱出アドベンチャーゲーム,2023/3/30
ユアマジェスティ,2022/10/21
ダチメン伝説G　転生ヤンキーギルドバトルRPG,2023/5/16
アルゴナビス -キミが見たステージへ-,2024/2/7
マブラヴ：ディメンションズ,2023/7/11
ゴールドラッシュバトラー,2023/7/19
BLACK STELLA PTOLOMEA,2023/12/7
takt op. 運命は真紅き旋律の街を,2023/6/28
ネバーアフター～逆転メルヘン～,2023/8/31
ラブライブ！スクールアイドルフェスティバル2,2023/4/15
トワツガイ,2023/2/16
かみながしじま 〜輪廻の巫女〜,2023/6/6
キュービックスターズ ギリギリ直感シューティングゲーム,2023/5/23
機兵とドラゴン,2024/4/8
GGGGG　協力・対戦アクションゲーム,2023/3/31
太鼓の達人 RHYTHM CONNECT,2023/11/1
金色のガッシュベル！！ 永遠の絆の仲間たち,2024/1/17
エレメンタルストーリーワールド,2024/1/15
モルガナティック・アイドル 乙女ゲーム・恋愛ゲーム,2024/3/5
廻らぬ星のステラリウム,2024/4/23
タップハンター～剣と魔法の放置RPG～,2024/2/15
青山オペレッタ,2024/4/30
