タイトル,発売日
聖闘士星矢 シャイニングソルジャーズ,2020/02/27
凍京NECRO SUICIDE MISSION,2019/03/29
ブラックホライズン -Black Horizon-,
Alice Closet,2019/08/30
RANBU 三国志乱舞,2020/11/16
THE KING OF FIGHTERS for GIRLS,2019/11/08
CODE：SEED -星火ノ唄-,
CUE! -See You Everyday-,
Exos Heroes,2020/05/28
LINE：ドラえもんパーク,2019/09/03
かくりよの門-朧-,2019/09/26
ソードアート・オンライン アリシゼーション・ブレイディング,2019/11/20
魔王と100人のお姫様,-
三国志ヒーローズ,2020/03/10
ロンドン迷宮譚 ： 本格ミステリー×アイテム探しゲーム,
東方キャノンボール,2019/10/01
モンスターハンター ライダーズ,2020/02/19
アークオーダー,2019/10/24
ルミナスフォレスト〜選ばれし三人の勇者たち,
アクション対魔忍,2019/12/24
レッド：プライドオブエデン,2020/07/09
防振り ～らいんうぉーず！～,2020/01/09
蒼藍の誓い - ブルーオース,2020/04/07
SHOW BY ROCK!! Fes A Live,2020/03/12
ウインドボーイズ！,2021/11/15
TRAHA,2020/04/23
NARUTO X BORUTO 忍者TRIBES,2020/03/17
戦姫ストライク,2020/03/20
アルゴナビス from BanG Dream! AAside,2021/01/14
アニマル フロンティア,2020/05/19
ユートピア・ゲート～双子の女神と未来へのつばさ～,2020/03/31
ビッグバッドモンスターズ,2020/06/24
22/7 音楽の時間,2020/05/27
マジカミ,2020/06/11
エコーズ オブ パンドラ,2020/05/28
幻想神域2 -AURA KINGDOM-,
ひぐらしのなく頃に 命,2020/09/03
V4,2007/12/07
終末のアーカーシャ,2021/07/29
アイコイノート,
ステラクロニクル,2020/07/20
NieR Recarnation,
Re：ゼロから始める異世界生活 リゼロス,
アンノウンブライド,2020/06/10
ガールズシンフォニー：Ec 〜新世界少女組曲〜,2017/02/14
食物語,2020/11/03
メガミヒストリア,2020/08/25
ルミア サガ-ちび萌え自由大冒険,2020/08/28
ブラック・サージナイト,2021/05/20
フィーバーダンク,2020/06/16
HoneyWorks Premium Live,2020/11/18
ガール・カフェ・ガン！,
サクラ革命 ～華咲く乙女たち～,2020/12/15
金色のコルダ スターライトオーケストラ,2021/02/24
グリザイア クロノスリベリオン,2020/11/26
夢境ワールド~元素使いの大冒険~,
ワールドウィッチーズ UNITED FRONT,2020/10/13
テラクラシック,2021/01/29
咲う アルスノトリア,2021/03/04
LINE 超大富豪,-
A.I.M.$,2020/11/17
ロックマンX DiVE,2020/10/26
スタースマッシュ,2020/11/16
おねがい、俺を現実に戻さないで！ シンフォニアステージ,2020/12/10
乱闘三国志～放置群英伝～,2020/11/26
英雄*戦姫WW,2019/07/30
ファンタジア・リビルド,2020/12/17
アニマエ・アルケー,2021/05/27
ブレイブ フロンティア レゾナ,2021/09/15
ディープインサニティ アサイラム,
FFVII THE FIRST SOLDIER,2021/11/17
オルタンシア・サーガR,2021/02/01
アイドルマスター ポップリンクス,2021/01/21
BLUE REFLECTION SUN/燦,2023/02/21
ドラゴンクエスト ダイの大冒険　-魂の絆-,2021/09/28
ゲートオブナイトメア,2021/10/26
三国志群雄 本格三国RPG,
Apex Legends Mobile,2022/05/18
フィギュアストーリー,2021/06/24
蒼空ファンタジー,2021/03/30
SHAMAN KING ふんばりクロニクル,2021/12/08
BLAZBLUE ALTERNATIVE DARKWAR,2021/02/16
ヴェルヴェットコード -Velvet Code-,
コードギアス Genesic Re;CODE,2021/10/04
無職転生 ～ゲームになっても本気だす～,2021/03/27
フットサルボーイズ!!!!! ハイファイリーグ,2021/11/09
キングダムDASH!!,2021/04/20
sin 七つの大罪 X-TASY,2021/06/02
にょろっこオンラインゲーム,
魔法科高校の劣等生 リローデッド・メモリ,2022/06/28
デッドバイデイライト・モバイル - NetEase,
シン・クロニクル,2022/03/23
マナシスリフレイン,2021/10/22
エクリプスサーガ,2021/07/08
月光彫刻師,2021/05/25
恋愛戦国ロマネスク 女性向け人気恋愛ゲーム,
プラオレ！～SMILE PRINCESS～,2022/03/15
テイルズウィーバー ： SecondRun,2022/11/21
彼女、お借りします ヒロインオールスターズ,2021/09/02
アイドルマスター SideM GROWING STARS,2021/10/06
シドニアの騎士 掌位ノ絆,2021/08/12
D_CIDE TRAUMEREI ディーサイドトロイメライ,2021/09/30
ドラゴンクエストけしケシ！,2021/12/01
遊戯王クロスデュエル,2022/09/06
聖剣伝説 ECHOES of MANA,2022/04/27
AKB48 WORLD,2021/09/09
夢職人と忘れじの黒い妖精,2022/02/18
アーテリーギア-機動戦姫-,2021/11/18
EXtreme LIVES,2022/03/01
EXTASY VISUAL SHOCK,2022/03/31
テイルズ オブ ルミナリア,2021/11/04
機動戦士ガンダム 鉄血のオルフェンズG,2022/11/15
ブレイブリーデフォルト ブリリアントライツ,2022/01/27
メモリア  夢の旅人と双子の案内人,2022/03/30
クローバーシアター,2022/08/03
404 GAME RE：SET -エラーゲームリセット-,
ミラクルマッチ,2022/06/14
鋼の錬金術師 MOBILE,2022/08/04
テクノロイド ユニゾンハート,2022/01/21
エターナルツリー,2022/06/23
からかい上手の高木さん キュンキュンレコーズ,2022/06/08
エンゲージ・キル,2023/03/01
＆0,2022/05/30
タワーオブスカイ,2023/02/28
アストラル・ミラージュ -幻城の姫君-,2022/11/14
真・三國無双 M,2018/02/08
クローズ×WORST - XROSS OVER -,2022/07/20
アスタータタリクス,2023/08/28
＃コンパス ライブアリーナ,2022/07/22
ミステリーレコード｜協力×謎解きの脱出アドベンチャーゲーム,
ユアマジェスティ,2022/10/21
ダチメン伝説G　転生ヤンキーギルドバトルRPG,
アルゴナビス -キミが見たステージへ-,2024/02/07
マブラヴ：ディメンションズ,2023/07/11
ゴールドラッシュバトラー,2023/07/19
BLACK STELLA PTOLOMEA,2023/12/07
takt op. 運命は真紅き旋律の街を,2023/06/28
ネバーアフター～逆転メルヘン～,2023/08/31
ラブライブ！スクールアイドルフェスティバル2,2023/04/15
トワツガイ,2023/02/16
かみながしじま 〜輪廻の巫女〜,2023/06/06
キュービックスターズ ギリギリ直感シューティングゲーム,
機兵とドラゴン,2024/04/08
GGGGG　協力・対戦アクションゲーム,
太鼓の達人 RHYTHM CONNECT,2023/11/01
金色のガッシュベル！！ 永遠の絆の仲間たち,2024/01/17
エレメンタルストーリーワールド,2024/01/15
モルガナティック・アイドル 乙女ゲーム・恋愛ゲーム,
廻らぬ星のステラリウム,2024/04/23
タップハンター～剣と魔法の放置RPG～,2024/02/15
青山オペレッタ,-
