タイトル,年月,売上予測,関連ジャンル,サービス終了日
スーパーガンダムロワイヤル,2018/12,2.48億G,,2021-07-29
スーパーガンダムロワイヤル,2018/11,2.51億G,,2021-07-29
スーパーガンダムロワイヤル,2018/10,2.63億G,,2021-07-29
スーパーガンダムロワイヤル,2018/09,1.90億G,,2021-07-29
スーパーガンダムロワイヤル,2018/08,1.98億G,,2021-07-29
スーパーガンダムロワイヤル,2018/07,2.73億G,,2021-07-29
スーパーガンダムロワイヤル,2018/06,2.23億G,,2021-07-29
スーパーガンダムロワイヤル,2018/05,2.65億G,,2021-07-29
スーパーガンダムロワイヤル,2018/04,3.18億G,,2021-07-29
スーパーガンダムロワイヤル,2018/03,2.83億G,,2021-07-29
スーパーガンダムロワイヤル,2018/02,2.52億G,,2021-07-29
スーパーガンダムロワイヤル,2018/01,4.03億G,,2021-07-29
スーパーガンダムロワイヤル,2019/12,1.17億G,,2021-07-29
スーパーガンダムロワイヤル,2019/11,1.78億G,,2021-07-29
スーパーガンダムロワイヤル,2019/10,1.80億G,,2021-07-29
スーパーガンダムロワイヤル,2019/09,1.69億G,,2021-07-29
スーパーガンダムロワイヤル,2019/08,2.01億G,,2021-07-29
スーパーガンダムロワイヤル,2019/07,2.17億G,,2021-07-29
スーパーガンダムロワイヤル,2019/06,1.87億G,,2021-07-29
スーパーガンダムロワイヤル,2019/05,2.34億G,,2021-07-29
スーパーガンダムロワイヤル,2019/04,2.33億G,,2021-07-29
スーパーガンダムロワイヤル,2019/03,2.19億G,,2021-07-29
スーパーガンダムロワイヤル,2019/02,2.01億G,,2021-07-29
スーパーガンダムロワイヤル,2019/01,3.17億G,,2021-07-29
スーパーガンダムロワイヤル,2020/12,1.02億G,,2021-07-29
スーパーガンダムロワイヤル,2020/11,"9,119万G",,2021-07-29
スーパーガンダムロワイヤル,2020/10,1.15億G,,2021-07-29
スーパーガンダムロワイヤル,2020/09,"9,266万G",,2021-07-29
スーパーガンダムロワイヤル,2020/08,"9,629万G",,2021-07-29
スーパーガンダムロワイヤル,2020/07,"8,752万G",,2021-07-29
スーパーガンダムロワイヤル,2020/06,"9,672万G",,2021-07-29
スーパーガンダムロワイヤル,2020/05,"8,782万G",,2021-07-29
スーパーガンダムロワイヤル,2020/04,"9,013万G",,2021-07-29
スーパーガンダムロワイヤル,2020/03,1.26億G,,2021-07-29
スーパーガンダムロワイヤル,2020/02,1.13億G,,2021-07-29
スーパーガンダムロワイヤル,2020/01,1.62億G,,2021-07-29
スーパーガンダムロワイヤル,2021/06,77万G,,2021-07-29
スーパーガンダムロワイヤル,2021/05,1.27億G,,2021-07-29
スーパーガンダムロワイヤル,2021/04,1.12億G,,2021-07-29
スーパーガンダムロワイヤル,2021/03,1.24億G,,2021-07-29
スーパーガンダムロワイヤル,2021/02,"9,121万G",,2021-07-29
スーパーガンダムロワイヤル,2021/01,1.38億G,,2021-07-29
武器よさらば,2018/08,529万G,,2019-03-25
武器よさらば,2018/07,"1,319万G",,2019-03-25
武器よさらば,2018/06,377万G,,2019-03-25
武器よさらば,2018/05,611万G,,2019-03-25
武器よさらば,2018/04,"1,654万G",,2019-03-25
武器よさらば,2018/03,"2,204万G",,2019-03-25
武器よさらば,2018/02,"1,576万G",,2019-03-25
スーパーロボット大戦X-Ω,2018/12,1.84億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/11,1.75億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/10,2.03億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/09,1.32億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/08,1.66億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/07,1.73億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/06,1.40億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/05,1.66億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/04,1.72億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/03,2.48億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/02,1.54億G,,2021-03-30
スーパーロボット大戦X-Ω,2018/01,1.58億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/12,"8,936万G",,2021-03-30
スーパーロボット大戦X-Ω,2019/11,1.09億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/10,1.83億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/09,1.16億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/08,1.49億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/07,1.52億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/06,1.75億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/05,1.15億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/04,1.06億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/03,1.67億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/02,1.28億G,,2021-03-30
スーパーロボット大戦X-Ω,2019/01,1.41億G,,2021-03-30
スーパーロボット大戦X-Ω,2020/12,"4,237万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/11,"6,866万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/10,1.01億G,,2021-03-30
スーパーロボット大戦X-Ω,2020/09,"6,189万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/08,"4,958万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/07,"7,302万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/06,"8,269万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/05,"5,938万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/04,"7,996万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/03,"8,527万G",,2021-03-30
スーパーロボット大戦X-Ω,2020/02,1.11億G,,2021-03-30
スーパーロボット大戦X-Ω,2020/01,"7,964万G",,2021-03-30
スーパーロボット大戦X-Ω,2021/01,"6,704万G",,2021-03-30
FINAL FANTASY GRANDMASTERS,2018/12,"4,936万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/11,"2,982万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/10,"3,603万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/09,"3,947万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/08,"4,537万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/07,"4,153万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/06,"2,488万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/05,"5,823万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/04,"1,465万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/03,620万G,,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/02,"3,199万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2018/01,"5,477万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2019/02,"1,334万G",,2019-04-25
FINAL FANTASY GRANDMASTERS,2019/01,"3,066万G",,2019-04-25
ドラゴンプロジェクト,2018/12,1.12億G,,2019-06-27
ドラゴンプロジェクト,2018/11,1.15億G,,2019-06-27
ドラゴンプロジェクト,2018/10,1.01億G,,2019-06-27
ドラゴンプロジェクト,2018/09,1.06億G,,2019-06-27
ドラゴンプロジェクト,2018/08,1.21億G,,2019-06-27
ドラゴンプロジェクト,2018/07,1.36億G,,2019-06-27
ドラゴンプロジェクト,2018/06,1.98億G,,2019-06-27
ドラゴンプロジェクト,2018/05,1.71億G,,2019-06-27
ドラゴンプロジェクト,2018/04,1.92億G,,2019-06-27
ドラゴンプロジェクト,2018/03,1.89億G,,2019-06-27
ドラゴンプロジェクト,2018/02,1.47億G,,2019-06-27
ドラゴンプロジェクト,2018/01,1.93億G,,2019-06-27
ドラゴンプロジェクト,2019/04,708万G,,2019-06-27
ドラゴンプロジェクト,2019/03,1.39億G,,2019-06-27
ドラゴンプロジェクト,2019/02,"6,086万G",,2019-06-27
ドラゴンプロジェクト,2019/01,1.23億G,,2019-06-27
戦の海賊,2018/12,828万G,,2022-03-31
戦の海賊,2018/11,"1,514万G",,2022-03-31
戦の海賊,2018/10,"1,698万G",,2022-03-31
戦の海賊,2018/09,"2,330万G",,2022-03-31
戦の海賊,2018/08,"1,719万G",,2022-03-31
戦の海賊,2018/07,"2,036万G",,2022-03-31
戦の海賊,2018/06,"1,960万G",,2022-03-31
戦の海賊,2018/05,"3,801万G",,2022-03-31
戦の海賊,2018/04,"3,086万G",,2022-03-31
戦の海賊,2018/03,"2,629万G",,2022-03-31
戦の海賊,2018/02,"2,756万G",,2022-03-31
戦の海賊,2018/01,"1,695万G",,2022-03-31
戦の海賊,2019/12,"1,246万G",,2022-03-31
戦の海賊,2019/11,845万G,,2022-03-31
戦の海賊,2019/10,"1,316万G",,2022-03-31
戦の海賊,2019/09,"2,392万G",,2022-03-31
戦の海賊,2019/08,"2,758万G",,2022-03-31
戦の海賊,2019/07,829万G,,2022-03-31
戦の海賊,2019/06,"1,267万G",,2022-03-31
戦の海賊,2019/05,183万G,,2022-03-31
戦の海賊,2019/04,230万G,,2022-03-31
戦の海賊,2019/03,830万G,,2022-03-31
戦の海賊,2019/02,"1,177万G",,2022-03-31
戦の海賊,2019/01,"1,891万G",,2022-03-31
戦の海賊,2020/12,589万G,,2022-03-31
戦の海賊,2020/11,621万G,,2022-03-31
戦の海賊,2020/10,767万G,,2022-03-31
戦の海賊,2020/09,779万G,,2022-03-31
戦の海賊,2020/08,"1,326万G",,2022-03-31
戦の海賊,2020/07,738万G,,2022-03-31
戦の海賊,2020/06,"1,280万G",,2022-03-31
戦の海賊,2020/05,"1,332万G",,2022-03-31
戦の海賊,2020/04,"1,118万G",,2022-03-31
戦の海賊,2020/03,"1,096万G",,2022-03-31
戦の海賊,2020/02,680万G,,2022-03-31
戦の海賊,2020/01,739万G,,2022-03-31
戦の海賊,2021/12,"2,370万G",,2022-03-31
戦の海賊,2021/11,"1,903万G",,2022-03-31
戦の海賊,2021/10,"2,553万G",,2022-03-31
戦の海賊,2021/09,"1,109万G",,2022-03-31
戦の海賊,2021/08,"1,124万G",,2022-03-31
戦の海賊,2021/07,508万G,,2022-03-31
戦の海賊,2021/06,754万G,,2022-03-31
戦の海賊,2021/05,396万G,,2022-03-31
戦の海賊,2021/04,890万G,,2022-03-31
戦の海賊,2021/03,369万G,,2022-03-31
戦の海賊,2021/02,863万G,,2022-03-31
戦の海賊,2021/01,855万G,,2022-03-31
戦の海賊,2022/01,"2,659万G",,2022-03-31
誰ガ為のアルケミスト,2018/12,1.75億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/11,2.22億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/10,2.34億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/09,2.91億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/08,2.06億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/07,2.56億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/06,2.68億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/05,3.26億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/04,2.57億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/03,2.60億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/02,3.72億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2018/01,4.29億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/12,1.64億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/11,1.84億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/10,3.11億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/09,1.87億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/08,2.08億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/07,2.29億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/06,3.88億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/05,2.39億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/04,2.27億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/03,2.71億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/02,3.07億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2019/01,3.13億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/12,1.34億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/11,1.25億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/10,1.96億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/09,1.49億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/08,1.42億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/07,1.38億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/06,1.77億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/05,1.77億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/04,1.83億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/03,1.86億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/02,3.07億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2020/01,2.40億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/12,1.08億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/11,"8,201万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/10,1.00億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/09,1.30億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/08,1.46億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/07,1.29億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/06,1.50億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/05,1.63億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/04,1.36億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/03,1.60億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/02,2.53億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2021/01,1.40億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/12,"5,973万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/11,"8,061万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/10,"9,648万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/09,"9,603万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/08,"8,915万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/07,1.07億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/06,1.05億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/05,1.38億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/04,1.09億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/03,1.34億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/02,2.08億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2022/01,1.91億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/12,"4,141万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/11,"4,854万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/10,"5,555万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/09,"4,335万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/08,"8,022万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/07,"6,610万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/06,"4,695万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/05,"7,343万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/04,"5,051万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/03,"6,803万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/02,1.30億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2023/01,1.38億G,GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/09,"4,041万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/08,"5,115万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/07,"6,118万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/06,"4,207万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/05,"4,570万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/04,"5,820万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/03,"4,603万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/02,"9,633万G",GAME RPG SLG,2024-11-29
誰ガ為のアルケミスト,2024/01,"7,944万G",GAME RPG SLG,2024-11-29
デッキヒーローズ-本格派戦略カードゲーム-,2018/05,173万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2018/01,173万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2019/11,3万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2019/10,8万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2019/08,22万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2019/07,11万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2019/06,4万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2020/04,26万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2020/02,16万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2021/11,355万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2021/10,211万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/12,44万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/11,41万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/10,38万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/08,52万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/07,44万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/06,132万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2022/02,42万G,GAME CARD ADV,2023-11-10
デッキヒーローズ-本格派戦略カードゲーム-,2023/02,237万G,GAME CARD ADV,2023-11-10
美少女戦士セーラームーン　セーラームーンドロップス,2018/09,153万G,,2019-03-28
美少女戦士セーラームーン　セーラームーンドロップス,2018/06,315万G,,2019-03-28
美少女戦士セーラームーン　セーラームーンドロップス,2018/05,869万G,,2019-03-28
美少女戦士セーラームーン　セーラームーンドロップス,2018/04,"2,256万G",,2019-03-28
美少女戦士セーラームーン　セーラームーンドロップス,2018/03,"2,077万G",,2019-03-28
美少女戦士セーラームーン　セーラームーンドロップス,2018/02,457万G,,2019-03-28
モンスターハンター エクスプロア,2018/12,"9,901万G",,2020-11-27
モンスターハンター エクスプロア,2018/11,"9,258万G",,2020-11-27
モンスターハンター エクスプロア,2018/10,"9,710万G",,2020-11-27
モンスターハンター エクスプロア,2018/09,1.57億G,,2020-11-27
モンスターハンター エクスプロア,2018/08,1.11億G,,2020-11-27
モンスターハンター エクスプロア,2018/07,1.31億G,,2020-11-27
モンスターハンター エクスプロア,2018/06,1.74億G,,2020-11-27
モンスターハンター エクスプロア,2018/05,1.17億G,,2020-11-27
モンスターハンター エクスプロア,2018/04,1.53億G,,2020-11-27
モンスターハンター エクスプロア,2018/03,2.12億G,,2020-11-27
モンスターハンター エクスプロア,2018/02,1.96億G,,2020-11-27
モンスターハンター エクスプロア,2018/01,1.75億G,,2020-11-27
モンスターハンター エクスプロア,2019/12,"1,786万G",,2020-11-27
モンスターハンター エクスプロア,2019/11,"2,078万G",,2020-11-27
モンスターハンター エクスプロア,2019/10,"2,391万G",,2020-11-27
モンスターハンター エクスプロア,2019/09,"4,492万G",,2020-11-27
モンスターハンター エクスプロア,2019/08,"2,411万G",,2020-11-27
モンスターハンター エクスプロア,2019/07,"4,459万G",,2020-11-27
モンスターハンター エクスプロア,2019/06,"7,303万G",,2020-11-27
モンスターハンター エクスプロア,2019/05,"4,449万G",,2020-11-27
モンスターハンター エクスプロア,2019/04,"7,874万G",,2020-11-27
モンスターハンター エクスプロア,2019/03,1.21億G,,2020-11-27
モンスターハンター エクスプロア,2019/02,"9,428万G",,2020-11-27
モンスターハンター エクスプロア,2019/01,"9,911万G",,2020-11-27
モンスターハンター エクスプロア,2020/09,812万G,,2020-11-27
モンスターハンター エクスプロア,2020/08,832万G,,2020-11-27
モンスターハンター エクスプロア,2020/07,"1,464万G",,2020-11-27
モンスターハンター エクスプロア,2020/06,"1,439万G",,2020-11-27
モンスターハンター エクスプロア,2020/05,"1,637万G",,2020-11-27
モンスターハンター エクスプロア,2020/04,"1,566万G",,2020-11-27
モンスターハンター エクスプロア,2020/03,"1,438万G",,2020-11-27
モンスターハンター エクスプロア,2020/02,"1,591万G",,2020-11-27
モンスターハンター エクスプロア,2020/01,"1,526万G",,2020-11-27
夢色キャスト,2018/12,755万G,,2019-01-15
夢色キャスト,2018/11,"2,127万G",,2019-01-15
夢色キャスト,2018/10,"3,209万G",,2019-01-15
夢色キャスト,2018/09,"4,207万G",,2019-01-15
夢色キャスト,2018/08,"1,309万G",,2019-01-15
夢色キャスト,2018/07,"2,608万G",,2019-01-15
夢色キャスト,2018/06,"3,812万G",,2019-01-15
夢色キャスト,2018/05,"2,638万G",,2019-01-15
夢色キャスト,2018/04,"6,239万G",,2019-01-15
夢色キャスト,2018/03,"6,658万G",,2019-01-15
夢色キャスト,2018/02,"4,388万G",,2019-01-15
夢色キャスト,2018/01,"1,762万G",,2019-01-15
グリムノーツ,2018/12,"5,664万G",,2020-06-17
グリムノーツ,2018/11,"7,150万G",,2020-06-17
グリムノーツ,2018/10,"6,551万G",,2020-06-17
グリムノーツ,2018/09,"5,659万G",,2020-06-17
グリムノーツ,2018/08,"6,833万G",,2020-06-17
グリムノーツ,2018/07,"7,437万G",,2020-06-17
グリムノーツ,2018/06,"8,194万G",,2020-06-17
グリムノーツ,2018/05,"9,986万G",,2020-06-17
グリムノーツ,2018/04,1.07億G,,2020-06-17
グリムノーツ,2018/03,1.30億G,,2020-06-17
グリムノーツ,2018/02,1.61億G,,2020-06-17
グリムノーツ,2018/01,1.88億G,,2020-06-17
グリムノーツ,2019/12,"3,649万G",,2020-06-17
グリムノーツ,2019/11,"3,006万G",,2020-06-17
グリムノーツ,2019/10,"8,584万G",,2020-06-17
グリムノーツ,2019/09,"4,886万G",,2020-06-17
グリムノーツ,2019/08,"6,559万G",,2020-06-17
グリムノーツ,2019/07,"2,700万G",,2020-06-17
グリムノーツ,2019/06,"8,071万G",,2020-06-17
グリムノーツ,2019/05,"4,130万G",,2020-06-17
グリムノーツ,2019/04,"9,481万G",,2020-06-17
グリムノーツ,2019/03,1.00億G,,2020-06-17
グリムノーツ,2019/02,1.07億G,,2020-06-17
グリムノーツ,2019/01,"8,820万G",,2020-06-17
グリムノーツ,2020/02,"1,492万G",,2020-06-17
グリムノーツ,2020/01,"7,938万G",,2020-06-17
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/12,358万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/11,491万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/10,414万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/09,"1,255万G",,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/08,651万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/07,656万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/05,445万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/04,802万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/03,"1,585万G",,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2018/02,"3,629万G",,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2019/06,347万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2019/05,472万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2019/04,695万G,,2019-06-28
DAME×PRINCE -ダメ王子たちとのドタバタ恋愛ADV,2019/01,162万G,,2019-06-28
かんぱにガールズ ファンタジーRPG,2018/12,875万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/10,"1,089万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/09,"2,475万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/08,643万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/07,"3,292万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/06,"3,094万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2018/04,391万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/12,321万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/11,660万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/10,224万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/09,"4,851万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/08,"1,030万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/07,"1,209万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/06,"1,305万G",,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/05,862万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2019/01,166万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/12,46万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/11,53万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/10,81万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/09,554万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/08,50万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/07,109万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/06,221万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/05,141万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/04,63万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/03,158万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/02,23万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2020/01,246万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2021/05,148万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2021/03,155万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2021/02,70万G,,2021-07-12
かんぱにガールズ ファンタジーRPG,2021/01,107万G,,2021-07-12
デジモンリンクス,2018/12,"3,721万G",,2019-07-30
デジモンリンクス,2018/11,"3,237万G",,2019-07-30
