タイトル,発売日,備考
プリキュア つながるぱずるん,2017/3/16,"アニメ/コミック, パズル, 原作モノ, 無料, プレイ人数：1人, 日本"
幻想神域 -Link of Hearts-,2017/4/20,ファンタジー
戦刻ナイトブラッド,2017/5/29,"恋愛, 歴史物, 戦国時代, 女性向け, ファンタジー, イケメン, 無料, 森川智之, 花江夏樹, 鳥海浩輔, 小西克幸, 山下大輝, 森久保祥太郎, 岡本信彦, 前野智昭, 逢坂良太, 緑川 光, 柿原徹也, 荒牧慶彦, 興津和幸, 木村良平, 安元洋貴, 西山宏太朗, 中島ヨシキ, 村瀬 歩, 八代 拓, 北村 諒, 梅原裕一郎, 佐藤拓也, 森田成一, 小林裕介, 島﨑信長, 武内駿輔"
ファイトリーグ,2017/6/22,"無料, 協力プレイ, 対戦プレイ"
ディズニー ツムツムランド,2017/10/31,"パズル, 無料, プレイ人数：1人, 原作モノ"
進撃の巨人 チェインパズルフィーバー,2017/8/3,パズル
プロジェクト東京ドールズ,2017/6/22,"プレイ人数：1人, 無料"
拡張少女系トライナリー,2017/4/12,"日本, SF, 育成, 無料"
僕のヒーローアカデミア スマッシュタップ,2017/4/18,"原作モノ, アニメ/コミック, 無料"
東京喰種 ：re invoke,2017/3/13,"アニメ/コミック, 原作モノ, 無料"
結城友奈は勇者である 花結いのきらめき,2017/6/8,"アニメ/コミック, プレイ人数：1人"
デスティニーチャイルド,2017/11/24,無料
TRINITY MASTER - トリマス -,2018/3/8,"対戦プレイ, 無料"
SINoALICE ーシノアリスー,2017/6/6,ファンタジー
AKB48ステージファイター2 バトルフェスティバル,2017/10/11,"無料, プレイ人数：1人"
黒騎士と白の魔王,2017/4/26,"無料, 対戦プレイ, 協力プレイ, 日本"
おそ松さん よくばり！ニートアイランド,2017/9/19,"アニメ/コミック, 無料, 都市建設, 女子にも人気, 櫻井孝宏, 中村悠一, 神谷浩史, 福山 潤, 小野大輔, 入野自由, 鈴村健一"
八月のシンデレラナイン,2017/6/27,"野球, 無料"
ミトラスフィア -MITRASPHERE-,2017/8/7,"ファンタジー, 無料, プレイ人数：1人, 協力プレイ"
ダンまち〜メモリア・フレーゼ〜,2017/6/19,"アニメ/コミック,原作モノ"
きららファンタジア,2017/12/11,"無料, アニメ/コミック, 原作モノ, 日本"
週刊少年ジャンプ オレコレクション！,2017/7/6,"原作モノ, 無料, アニメ/コミック"
欅のキセキ,2017/10/18,"パズル, 無料"
エターナルリンケージ -蒼穹のアムネシア-,2017/11/21,"ファンタジー, 無料, プレイ人数：1人"
KING OF PRISM プリズムラッシュ！LIVE,2017/8/10,"原作モノ, イケメン, 声優, 柿原徹也, 前野智昭, 増田俊樹, 寺島惇太, 斉藤壮馬, 畠中 祐, 八代 拓, 五十嵐雅, 永塚拓馬, 内田雄馬, 蒼井翔太, 武内駿輔, 無料"
サーヴァント オブ スローンズ,2018/1/24,"対戦プレイ, カード, 無料, プレイ人数：1～2人"
恋愛プリンセス 恋愛ゲーム・乙女ゲーム女性向け,2017/11/20,恋愛
機動戦士ガンダム 即応戦線,2018/2/7,"アニメ/コミック, 原作モノ, 無料, 対戦プレイ, 協力プレイ, プレイ人数：1～2人, プレイ人数：1～4人, ガンダム"
ワールド オブ ファイナルファンタジー メリメロ,2017/12/12,"育成, ファンタジー, 無料"
ヴィーナスランブル,2017/8/31,無料
ぱすてるメモリーズ～3DバトルRPG×美少女ゲー,2017/10/23,無料
勇者のくせにこなまいきだDASH!,2018/2/14,パズル
オーディナル ストラータ,2018/1/9,"ファンタジー, 無料, 日本"
Pancy-恋活・婚活マッチングアプリ,2017/10/10,マッチングアプリ
仮面ライダー シティウォーズ,2017/10/25,"原作モノ, 無料, アニメ/コミック"
幽遊白書 100%本気バトル,2018/8/28,"アニメ/コミック,原作モノ"
ぷちぐるラブライブ！,2018/4/24,"アニメ/コミック, 原作モノ, 無料"
刀使ノ巫女 刻みし一閃の燈火,2018/3/19,"学園物, アニメ/コミック, ホラー/オカルト, 無料"
ドラゴン騎士団,2018/4/24,"Mobage, 無料"
進撃の巨人 TACTICS,2019/4/18,"アニメ/コミック, 無料, 原作モノ"
NARUTO X BORUTO 忍者BORUTAGE,2017/11/15,"日本, アニメ/コミック, 原作モノ, 協力プレイ, プレイ人数：1～4人, 無料"
ポポロクロイス物語 ～ナルシアの涙と妖精の笛,2018/5/8,"無料, ファンタジー"
三極ジャスティス,2018/6/1,無料
LINE：ディズニー トイカンパニー,2019/4/18,"アニメ/コミック, ほのぼの, 原作モノ, 無料, パズル"
アルテイルNEO,2018/10/25,"ファンタジー, カード, 無料"
スヌーピー ライフ,2018/1/24,"アニメ/コミック, 原作モノ, 無料, プレイ人数：1人"
レイヤードストーリーズ ゼロ,2017/12/7,"アニメ/コミック, ファンタジー, 無料"
OVERHIT -オーバーヒット-,2018/5/29,"ファンタジー, 韓国, 無料"
IS＜インフィニット・ストラトス＞アーキタイプ・ブレイカー,2017/12/5,"原作モノ, 学園物, SF"
GOD EATER RESONANT OPS,2018/4/4,"現代戦, 無料"
超進化物語,2018/3/28,"育成, 無料, 対戦プレイ"
ワールドフリッパー,2019/11/27,"無料, ファンタジー"
ハイスクール・フリート 艦隊バトルでピンチ！,2019/3/27,"海洋, 育成, アニメ/コミック, 原作モノ, 無料"
AKB48ダイスキャラバン,2018/4/10,無料
KOFクロニクル,2019/10/17,"格闘, 無料"
クロノマギア,2018/4/10,"無料, カード"
モダンコンバット Versus,2017/12/20,"現代戦, 特殊部隊/スニーク, 無料"
宇宙戦艦ヤマト2202 -Hero's Record-,2018/1/29,"アニメ/コミック,原作モノ"
23/7 トゥエンティ スリー セブン,2018/3/15,"ファンタジー, 無料"
バクレツモンスター,2018/10/17,"無料, 日本"
ときめきアイドル,2018/3/20,"学園物, 無料"
魔界ウォーズ,2018/2/15,無料
デジモンリアライズ,2018/6/26,無料
ドラガリアロスト,2018/9/27,無料
明治東亰恋伽～ハヰカラデヱト～,2018/12/14,"アニメ/コミック, 恋愛, 女性向け, 乙女ゲーム, イケメン, 浪川大輔, KENN, 岡本信彦, 鳥海浩輔, 福山 潤, 立花慎之介, 細谷佳正, 森川智之, 無料"
のぶニャがの野望 ニャぷり！,2018/8/8,"戦国時代, 歴史物, 無料"
妖怪ウォッチ ワールド,2018/6/27,"AR, 協力プレイ, 無料"
鬼灯の冷徹～地獄のパズルも君次第,2019/6/13,"無料, アニメ/コミック, 原作モノ, パズル"
LINE ブラウンストーリーズ,2019/2/18,無料
ワイルドアームズ ミリオンメモリーズ,2018/9/26,無料
ラブプラス EVERY,2019/10/31,"無料, 恋愛, VR"
サファイア・スフィア〜蒼き境界〜,2018/8/9,"ファンタジー, 戦略級, 無料"
レジェンドオブリング,2018/6/21,ファンタジー
ラブライブ！スクールアイドルフェスティバルALL STARS,2019/9/26,"アニメ/コミック,原作モノ"
戦国大河 - 天下統一シミュレーション,2018/11/21,戦国時代
爆走ドリフターズ,2019/11/14,無料
フリージング エクステンション - 学園美少女RPG,2018/8/23,"アニメ/コミック,原作モノ"
真・三國無双 斬,2018/9/20,"三國志, 三国志, 無料"
テラウォーズ,2019/7/1,"無料, 日本"
アークザラッド R,2018/8/23,無料
イドラ ファンタシースターサーガ,2018/11/27,"無料, セガ注目タイトル"
トロとパズル ~どこでもいっしょ~,2019/10/1,パズル
オンエア！,2018/8/16,"女性向け, 育成, 学園物, イケメン, 無料"
リボルバーズエイト - リボハチ,2019/1/22,"無料, 対戦プレイ"
ホップステップジャンパーズ,2018/12/5,無料
ワールドエンドヒーローズ,2018/11/13,"赤羽根健治, 天崎滉平, 石川界人, 井上和彦, 内田雄馬, 内山昂輝, 梅原裕一郎, 緒方恵美, 岡本信彦, 小林裕介, 櫻井孝宏, 島﨑信長, 杉田智和, 鈴木拡樹, 竹内良太, 野島健児, 日野 聡, 堀江 瞬, 三宅健太, 村瀬 歩, 吉野裕行, 無料, 女性向け, イケメン, 声優"
ArkResona -アークレゾナ-,2019/8/14,"パズル, 無料"
シンエンレジスト,2018/6/26,女性向け
転生したらスライムだった件 ～魔国連邦創世記～,2018/10/30,"アニメ/コミック,原作モノ"
ヴァンガード ZERO,2019/12/5,"アニメ/コミック, カード, 原作モノ"
妖怪ウォッチ メダルウォーズ,2019/7/30,"アニメ/コミック, 無料"
ゲシュタルト・オーディン,2018/10/18,無料
少女歌劇 レヴュースタァライト -Re LIVE-,2018/10/28,アニメ/コミック
禍つヴァールハイト,2019/4/23,"ファンタジー, 無料, 協力プレイ, プレイ人数：1～4人"
真・北斗無双,2020/12/14,"北斗の拳, 原作モノ"
ブラッククローバー 夢幻の騎士団,2018/11/14,"アニメ/コミック, 原作モノ, 無料"
ユニティア神託の使徒×終焉の女神,2018/7/31,
プレカトゥスの天秤,2018/10/31,無料
ツムツムスタジアム,2020/9/29,"パズル, 対戦プレイ, 無料"
ケンガン ULTIMATE BATTLE,2019/6/12,"格闘, 原作モノ, アニメ/コミック, 無料"
リンクスリングス,2019/5/30,"無料, 対戦プレイ"
ジョジョのピタパタポップ,2018/10/10,"アニメ/コミック, 原作モノ, 無料"
ブレイドエクスロード,2020/4/21,無料
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,2018/11/1,"ホラー/オカルト, コミカル, 原作モノ, アニメ/コミック, 無料"
劇的采配！プロ野球リバーサル,2019/5/14,野球
FAITH - フェイス,2018/11/21,"戦術級, 戦略級, 無料"
シティダンク,2020/5/7,"プレイ人数：1～2人, 協力プレイ, 対戦プレイ"
〈物語〉シリーズ ぷくぷく,2018/8/21,"パズル, アニメ/コミック, 原作モノ, 無料, 日本"
Readyyy!,2019/2/1,"女性向け, イケメン, 住谷哲栄, 長谷徳人, 小宮逸人, 遠藤淳, 観世智顕, 澤田龍一, 大町知広, 服部想之介, 梅田修一朗, 黒木陽人, 古田一晟, 安田駿, 美藤大樹, 近衛秀馬, 小野将夢, 三浦勝之, 榊原優希, 田中文哉"
グリムエコーズ,2019/3/28,"ファンタジー, 無料, プレイ人数：1人"
DarkAvenger X - ダークアベンジャー クロス,2019/2/13,ファンタジー
ドラゴンネストM,2018/12/13,"ファンタジー, 無料"
蒼天のスカイガレオン,2019/8/1,"カード, 戦略級, 無料"
東京コンセプション,2018/10/23,"ファンタジー, 無料"
でみめん,2018/12/12,"女性向け, ファンタジー, 動物モノ"
ラストイデア,2019/4/18,"ファンタジー, 無料"
デビルブック,2019/1/8,無料
ディズニー ミュージックパレード,2021/1/22,"原作モノ, 女子にも人気, 無料"
アイチュウ ÉtoileStage,2020/4/30,育成
この素晴らしい世界に祝福を！ファンタスティックデイズ,2020/2/27,"ファンタジー, 原作モノ, 基本プレイ無料"
重装出陣,2020/7/31,"SF, 無料, 対戦プレイ, ロボット"
星鳴エコーズ,2019/11/27,"女性向け, 育成"
ドクターマリオ ワールド,2019/7/10,"パズル, 無料"
ウルトラ怪獣バトルブリーダーズ,2018/12/20,"原作モノ, 無料"
Witch's Weapon-魔女兵器-,2019/4/25,無料
なむあみだ仏っ！-蓮台 UTENA-,2019/4/29,"原作モノ, 女性向け, 無料"
メリーガーランド　美少女 放置 RPG,2019/1/29,無料
HUNTER×HUNTER アリーナバトル,2020/1/30,"アニメ/コミック, 原作モノ, 無料"
最果てのバベル,2019/6/12,無料
LINE：ピクサー タワー ～おかいものパズル～,2019/8/14,"パズル, 無料, 原作モノ"
暁のブレイカーズ  ～アクション・バトル～,2018/12/18,無料
荒野のコトブキ飛行隊  大空のテイクオフガールズ！,2019/2/13,"無料, アニメ/コミック"
ミイラの飼い方 パズルで育てる不思議な生き物-comico-,2019/3/21,パズル
キックフライト,2020/2/13,"プレイ人数：1～8人, 対戦プレイ, 無料"
メガミラクルフォース,2019/1/31,"アニメ/コミック, 原作モノ, 無料"
とある魔術の禁書目録 幻想収束,2019/7/4,"アニメ/コミック, 原作モノ, 無料"
ラクガキキングダム -あなたの未来を描く育成RPG-,2021/1/28,無料
MARVEL Super War,2015/1/22,原作モノ
機動都市X：スーパーメカシティ,2021/3/25,"SF, ロボット, 中国"
乙女神楽 〜ザンビへの鎮魂歌〜,2019/5/15,無料
アカツキランド,2019/6/4,無料
名探偵コナンランナー,2019/4/10,"アニメ/コミック, 原作モノ, 無料, 女子にも人気"
ガンビット,2019/5/15,"欧州, 戦争物, ミリタリー, 現代戦"
テイルズ オブ クレストリア,2020/7/16,無料
戦国BASARA バトルパーティー,2019/6/24,無料
社長、バトルの時間です！,2019/10/17,無料
カラーピーソウト,2019/6/25,"パズル, 無料"
ゼノンザード,2019/9/10,"カード, 無料, SF"
ハリー・ポッター： 魔法同盟,2019/7/2,"AR, 原作モノ"
ポケモンスクランブルSP,2019/7/23,"ポケットモンスター, 無料"
リーグ・オブ・ワンダーランド,2019/9/30,"無料, 対戦プレイ"
revisions next stage,2019/10/30,無料
ユージェネ,2021/6/16,"無料, AR"
装甲娘,2018/1/30,"SF, 原作モノ"
快感フレーズ CLIMAX,2019/10/15,"女性向け, イケメン, アニメ/コミック, 恋愛, 内田雄馬, 木村良平, 笠間 淳, 鈴木達央, 古川 慎, 花江夏樹"
牧場婚活,2019/5/15,"無料, ほのぼの, 恋愛"
Project NOAH - プロジェクト・ノア -,2019/9/9,"無料, 女子にも人気"
ガンダムブレイカーモバイル,2019/7/31,"アニメ/コミック, ロボット, 原作モノ, 無料"
三国志大戦M：超本格戦略型カードRPG,2019/9/12,三国志
TERA ORIGIN,2019/10/10,"北米, SF"
カードキャプターさくら ハピネスメモリーズ,2019/10/3,"アニメ/コミック, 原作モノ, 日本, 女子にも人気, 無料"
ドラゴン＆コロニーズ,2019/6/18,"ファンタジー, 無料"
MU：奇蹟の覚醒,2019/5/28,無料
"ダンキラ!!! - Boys, be DANCING! -",2019/5/21,"女性向け, 育成, 学園物"
プロ野球 ファミスタ マスターオーナーズ,2019/4/18,"無料, 野球, 育成"
ONE PIECE ボン！ボン！ジャーニー!!,2020/3/17,アニメ/コミック
HiGH＆LOW THE GAME,2019/10/25,"クライム, 無料"
ロストディケイド,2020/2/12,"ファンタジー, 無料"
スヌーピー パズルジャーニー,2020/3/3,"アニメ/コミック, ほのぼの, パズル, 無料, プレイ人数：1人"
ラピスリライツ 〜この世界のアイドルは魔法が使える〜,2021/12/14,"日本, 無料"
聖闘士星矢 シャイニングソルジャーズ,2020/2/27,"原作モノ, 聖闘士星矢, 無料"
凍京NECRO SUICIDE MISSION,2019/3/29,"ホラー/オカルト, 育成"
ブラックホライズン -Black Horizon-,2019/9/19,無料
Alice Closet,2019/8/30,"ファンタジー, 女性向け"
RANBU 三国志乱舞,2020/11/16,"三国志, 無料"
THE KING OF FIGHTERS for GIRLS,2019/11/8,"原作モノ, 育成, 乙女ゲーム, 女性向け, イケメン, 恋愛, 無料"
CODE：SEED -星火ノ唄-,2019/12/4,無料
CUE! -See You Everyday-,2019/10/25,育成
Exos Heroes,2020/5/28,無料
LINE：ドラえもんパーク,2019/9/3,"アニメ/コミック, 原作モノ, パズル, 無料"
かくりよの門-朧-,2019/9/26,
ソードアート・オンライン アリシゼーション・ブレイディング,2019/11/20,"アニメ/コミック, 原作モノ, ファンタジー, 無料"
魔王と100人のお姫様,2019/11/20,
三国志ヒーローズ,2020/3/10,"三国志, 対戦プレイ, 無料"
ロンドン迷宮譚 ： 本格ミステリー×アイテム探しゲーム,2021/1/27,推理物
東方キャノンボール,2019/10/1,無料
モンスターハンター ライダーズ,2020/2/19,無料
アークオーダー,2019/10/24,"育成, 無料, プレイ人数：1人"
ルミナスフォレスト〜選ばれし三人の勇者たち,2019/12/19,ファンタジー
アクション対魔忍,2019/12/24,プレイ人数：1人
レッド：プライドオブエデン,2020/7/9,"ファンタジー, 動物モノ, 無料, プレイ人数：1人"
防振り ～らいんうぉーず！～,2020/1/9,"アニメ/コミック, 原作モノ, ファンタジー, 無料"
蒼藍の誓い - ブルーオース,2020/4/7,"海洋, 無料"
SHOW BY ROCK!! Fes A Live,2020/3/12,"アニメ/コミック, 原作モノ, 無料"
ウインドボーイズ！,2021/11/15,"女性向け, 学園物, 無料, イケメン"
TRAHA,2020/4/23,"ファンタジー, 無料, 韓国"
NARUTO X BORUTO 忍者TRIBES,2020/3/17,"アニメ/コミック, 原作モノ, 無料"
戦姫ストライク,2020/3/20,
アルゴナビス from BanG Dream! AAside,2021/1/14,"イケメン, 女性向け, 伊藤昌弘, 日向大輔, 前田誠二, 森嶋秀太, 橋本祥平, 小笠原 仁, 橋本真一, 真野拓実, 秋谷啓斗, 宮内告典, ランズベリー・アーサー, 和田将弥, 福山 潤, 代永 翼, 鮎川太陽, 中島ヨシキ, 金子 誠, 阿部 敦, 酒井広大, 吉野裕行, 榊原優希, 梶原岳人, 市川太一, 峰岸 佳, 立花慎之介"
アニマル フロンティア,2020/5/19,"動物モノ, 無料"
ユートピア・ゲート～双子の女神と未来へのつばさ～,2020/3/31,ファンタジー
ビッグバッドモンスターズ,2020/6/24,無料
22/7 音楽の時間,2020/5/27,"育成, 原作モノ, 無料"
マジカミ,2020/6/11,プレイ人数：1人
エコーズ オブ パンドラ,2020/5/28,"ミリタリー, 無料"
幻想神域2 -AURA KINGDOM-,2020/7/1,無料
ひぐらしのなく頃に 命,2020/9/3,"ホラー/オカルト, 無料"
V4,2020/9/24,"韓国, 無料"
終末のアーカーシャ,2021/7/29,無料
アイコイノート,2020/4/27,
ステラクロニクル,2020/7/20,"ファンタジー, 無料"
NieR Recarnation,2021/2/18,ファンタジー
Re：ゼロから始める異世界生活 リゼロス,2020/9/9,"アニメ/コミック,原作モノ"
アンノウンブライド,2020/6/10,"無料, ファンタジー"
ガールズシンフォニー：Ec 〜新世界少女組曲〜,2017/2/14,"ファンタジー, 基本プレイ無料"
食物語,2020/11/3,"無料, 女性向け"
メガミヒストリア,2020/8/25,"ターン制, 無料"
ルミア サガ-ちび萌え自由大冒険,2020/8/28,無料
ブラック・サージナイト,2021/5/20,"ファンタジー, 海洋, 無料"
フィーバーダンク,2020/6/16,"無料, バスケットボール"
HoneyWorks Premium Live,2020/11/18,
ガール・カフェ・ガン！,2019/9/20,
サクラ革命 ～華咲く乙女たち～,2020/12/15,"無料, セガ注目タイトル"
金色のコルダ スターライトオーケストラ,2021/2/24,"女性向け, 育成, 学園物, 恋愛, イケメン, 無料, 日野 聡, 武内駿輔, 森田成一, 福山 潤, 谷山紀章, 伊藤健太郎, 田丸篤志, 小野将夢, 野島裕史, 岸尾だいすけ, 熊谷健太郎, 前野智昭, 内田夕夜, 小西克幸, 石川英郎, 保村 真, 宮野真守, 三浦祥朗, 大原さやか, KENN, 細谷佳正, 水橋かおり, 佐藤 朱, 増田ゆき"
グリザイア クロノスリベリオン,2020/11/26,"ミリタリー, 学園物, 無料"
夢境ワールド~元素使いの大冒険~,2020/8/28,
ワールドウィッチーズ UNITED FRONT,2020/10/13,"アニメ/コミック, 原作モノ, 無料"
テラクラシック,2021/1/29,"韓国, 無料"
咲う アルスノトリア,2021/3/4,"ファンタジー, 無料"
LINE 超大富豪,2021/8/30,"カード, 無料"
A.I.M.$,2020/11/17,無料
ロックマンX DiVE,2020/10/26,プレイ人数：1人
スタースマッシュ,2020/11/16,原作モノ
おねがい、俺を現実に戻さないで！ シンフォニアステージ,2020/12/10,"ファンタジー, 無料"
乱闘三国志～放置群英伝～,2020/11/26,"歴史物, 無料"
英雄*戦姫WW,2019/7/30,"歴史物, 基本プレイ無料"
ファンタジア・リビルド,2020/12/17,"アニメ/コミック, 原作モノ"
アニマエ・アルケー,2021/5/27,ファンタジー
ブレイブ フロンティア レゾナ,2021/9/15,"ファンタジー, 無料, プレイ人数：1人"
ディープインサニティ アサイラム,2021/10/14,無料
